# t S E I R
138	4.87888e+06	294729	1.50137e+06	5.3325e+07
139	4.83762e+06	269633	1.38726e+06	5.35055e+07
140	4.79982e+06	246728	1.28127e+06	5.36722e+07
141	4.76517e+06	225815	1.18289e+06	5.38261e+07
142	4.73342e+06	206719	1.09166e+06	5.39682e+07
143	4.7043e+06	189276	1.00711e+06	5.40993e+07
144	4.67761e+06	173339	928809	5.42202e+07
145	4.65313e+06	158775	856342	5.43318e+07
146	4.63067e+06	145461	789313	5.44346e+07
147	4.61007e+06	133288	727345	5.45293e+07
148	4.59117e+06	122154	670086	5.46166e+07
149	4.57383e+06	111969	617200	5.4697e+07
150	4.55792e+06	102648	568375	5.47711e+07
151	4.54332e+06	94117.3	523316	5.48392e+07
152	4.52991e+06	86307.5	481748	5.4902e+07
153	4.51761e+06	79156	443412	5.49598e+07
154	4.50632e+06	72606.1	408067	5.5013e+07
155	4.49595e+06	66605.9	375490	5.5062e+07
156	4.48643e+06	61108.2	345472	5.5107e+07
157	4.47769e+06	56069.9	317817	5.51484e+07
158	4.46967e+06	51452	292345	5.51865e+07
159	4.4623e+06	47218.6	268889	5.52216e+07
160	4.45554e+06	43337.2	247294	5.52538e+07
161	4.44932e+06	39777.8	227414	5.52835e+07
162	4.44362e+06	36513.5	209116	5.53108e+07
163	4.43838e+06	33519.3	192278	5.53358e+07
164	4.43357e+06	30772.5	176784	5.53589e+07
165	4.42915e+06	28252.5	162529	5.53801e+07
166	4.42509e+06	25940.2	149416	5.53996e+07
167	4.42136e+06	23818.4	137354	5.54175e+07
168	4.41793e+06	21871.1	126259	5.54339e+07
169	4.41479e+06	20083.9	116056	5.54491e+07
170	4.4119e+06	18443.4	106674	5.5463e+07
171	4.40924e+06	16937.6	98046.3	5.54758e+07
172	4.40681e+06	15555.2	90113.6	5.54875e+07
173	4.40457e+06	14286.2	82820.3	5.54983e+07
174	4.40251e+06	13121	76115.1	5.55083e+07
175	4.40062e+06	12051.2	69951	5.55174e+07
176	4.39888e+06	11068.8	64284.6	5.55258e+07
177	4.39729e+06	10166.8	59076	5.55335e+07
178	4.39582e+06	9338.52	54288.3	5.55405e+07
179	4.39448e+06	8577.85	49887.7	5.55471e+07
180	4.39324e+06	7879.29	45843	5.5553e+07
181	4.39211e+06	7237.73	42125.6	5.55585e+07
182	4.39106e+06	6648.51	38709.2	5.55636e+07
183	4.3901e+06	6107.35	35569.3	5.55682e+07
184	4.38922e+06	5610.31	32683.8	5.55725e+07
185	4.38841e+06	5153.78	30032	5.55764e+07
186	4.38767e+06	4734.45	27595	5.558e+07
187	4.38699e+06	4349.28	25355.6	5.55833e+07
188	4.38636e+06	3995.48	23297.7	5.55863e+07
189	4.38578e+06	3670.5	21406.7	5.55891e+07
190	4.38525e+06	3371.97	19669	5.55917e+07
191	4.38477e+06	3097.75	18072.3	5.55941e+07
192	4.38432e+06	2845.84	16605.1	5.55962e+07
193	4.38391e+06	2614.44	15256.9	5.55982e+07
194	4.38353e+06	2401.87	14018.1	5.56e+07
195	4.38319e+06	2206.59	12879.8	5.56017e+07
196	4.38287e+06	2027.2	11833.9	5.56033e+07
197	4.38258e+06	1862.4	10872.9	5.56047e+07
198	4.38231e+06	1711	9989.93	5.5606e+07
199	4.38206e+06	1571.92	9178.61	5.56072e+07
200	4.38183e+06	1444.14	8433.15	5.56083e+07
201	4.38162e+06	1326.76	7748.21	5.56093e+07
202	4.38143e+06	1218.92	7118.88	5.56102e+07
203	4.38126e+06	1119.85	6540.66	5.56111e+07
204	4.3811e+06	1028.84	6009.39	5.56119e+07
205	4.38095e+06	945.224	5521.26	5.56126e+07
206	4.38081e+06	868.405	5072.77	5.56132e+07
207	4.38069e+06	797.831	4660.7	5.56139e+07
208	4.38057e+06	732.994	4282.1	5.56144e+07
209	4.38046e+06	673.426	3934.24	5.56149e+07
210	4.38037e+06	618.701	3614.64	5.56154e+07
211	4.38028e+06	568.423	3321	5.56158e+07
212	4.3802e+06	522.232	3051.21	5.56162e+07
213	4.38012e+06	479.795	2803.34	5.56166e+07
214	4.38005e+06	440.807	2575.6	5.56169e+07
215	4.37999e+06	404.988	2366.36	5.56172e+07
216	4.37993e+06	372.079	2174.11	5.56175e+07
217	4.37988e+06	341.845	1997.48	5.56178e+07
218	4.37983e+06	314.068	1835.2	5.5618e+07
219	4.37978e+06	288.548	1686.11	5.56182e+07
220	4.37974e+06	265.102	1549.12	5.56184e+07
221	4.3797e+06	243.561	1423.27	5.56186e+07
222	4.37967e+06	223.77	1307.63	5.56188e+07
223	4.37963e+06	205.588	1201.4	5.5619e+07
224	4.3796e+06	188.883	1103.79	5.56191e+07
225	4.37958e+06	173.536	1014.11	5.56192e+07
226	4.37955e+06	159.436	931.719	5.56194e+07
227	4.37953e+06	146.481	856.021	5.56195e+07
228	4.37951e+06	134.579	786.472	5.56196e+07
229	4.37949e+06	123.644	722.574	5.56197e+07
230	4.37947e+06	113.598	663.868	5.56198e+07
231	4.37945e+06	104.368	609.931	5.56198e+07
232	4.37944e+06	95.8879	560.376	5.56199e+07
233	4.37943e+06	88.0969	514.847	5.562e+07
234	4.37941e+06	80.9389	473.017	5.562e+07
235	4.3794e+06	74.3626	434.586	5.56201e+07
236	4.37939e+06	68.3206	399.277	5.56201e+07
237	4.37938e+06	62.7695	366.836	5.56202e+07
238	4.37937e+06	57.6694	337.032	5.56202e+07
239	4.37936e+06	52.9838	309.649	5.56203e+07
240	4.37936e+06	48.6788	284.49	5.56203e+07
241	4.37935e+06	44.7237	261.376	5.56203e+07
242	4.37934e+06	41.0899	240.14	5.56204e+07
243	4.37934e+06	37.7513	220.629	5.56204e+07
244	4.37933e+06	34.684	202.703	5.56204e+07
245	4.37933e+06	31.8659	186.234	5.56205e+07
246	4.37932e+06	29.2768	171.103	5.56205e+07
247	4.37932e+06	26.8981	157.201	5.56205e+07
248	4.37931e+06	24.7127	144.428	5.56205e+07
249	4.37931e+06	22.7048	132.694	5.56205e+07
250	4.37931e+06	20.86	121.913	5.56206e+07
251	4.3793e+06	19.1651	112.007	5.56206e+07
252	4.3793e+06	17.608	102.907	5.56206e+07
253	4.3793e+06	16.1773	94.5459	5.56206e+07
254	4.37929e+06	14.8629	86.8641	5.56206e+07
255	4.37929e+06	13.6553	79.8065	5.56206e+07
256	4.37929e+06	12.5459	73.3224	5.56206e+07
257	4.37929e+06	11.5265	67.365	5.56206e+07
258	4.37929e+06	10.59	61.8917	5.56206e+07
259	4.37929e+06	9.72956	56.8631	5.56206e+07
260	4.37928e+06	8.93904	52.243	5.56207e+07
261	4.37928e+06	8.21275	47.9983	5.56207e+07
262	4.37928e+06	7.54547	44.0985	5.56207e+07
263	4.37928e+06	6.93241	40.5155	5.56207e+07
264	4.37928e+06	6.36915	37.2237	5.56207e+07
265	4.37928e+06	5.85167	34.1993	5.56207e+07
266	4.37928e+06	5.37622	31.4207	5.56207e+07
267	4.37928e+06	4.93941	28.8678	5.56207e+07
268	4.37928e+06	4.53809	26.5223	5.56207e+07
269	4.37928e+06	4.16937	24.3674	5.56207e+07
270	4.37928e+06	3.83061	22.3876	5.56207e+07
271	4.37927e+06	3.51938	20.5686	5.56207e+07
272	4.37927e+06	3.23343	18.8974	5.56207e+07
273	4.37927e+06	2.97072	17.362	5.56207e+07
274	4.37927e+06	2.72935	15.9514	5.56207e+07
275	4.37927e+06	2.50759	14.6553	5.56207e+07
276	4.37927e+06	2.30385	13.4646	5.56207e+07
277	4.37927e+06	2.11667	12.3706	5.56207e+07
278	4.37927e+06	1.94469	11.3655	5.56207e+07
279	4.37927e+06	1.78669	10.4421	5.56207e+07
280	4.37927e+06	1.64152	9.59367	5.56207e+07
281	4.37927e+06	1.50815	8.8142	5.56207e+07
282	4.37927e+06	1.38561	8.09805	5.56207e+07
283	4.37927e+06	1.27303	7.44009	5.56207e+07
284	4.37927e+06	1.1696	6.83559	5.56207e+07
285	4.37927e+06	1.07457	6.28021	5.56207e+07
286	4.37927e+06	0.987262	5.76995	5.56207e+07
287	4.37927e+06	0.907048	5.30114	5.56207e+07
288	4.37927e+06	0.833351	4.87043	5.56207e+07
289	4.37927e+06	0.765642	4.47471	5.56207e+07
290	4.37927e+06	0.703435	4.11115	5.56207e+07
291	4.37927e+06	0.646281	3.77712	5.56207e+07
292	4.37927e+06	0.593772	3.47023	5.56207e+07
293	4.37927e+06	0.545528	3.18828	5.56207e+07
294	4.37927e+06	0.501205	2.92924	5.56207e+07
295	4.37927e+06	0.460482	2.69124	5.56207e+07
296	4.37927e+06	0.423068	2.47258	5.56207e+07
297	4.37927e+06	0.388694	2.27168	5.56207e+07
298	4.37927e+06	0.357113	2.08711	5.56207e+07
299	4.37927e+06	0.328098	1.91753	5.56207e+07
300	4.37927e+06	0.301441	1.76174	5.56207e+07
301	4.37927e+06	0.276949	1.6186	5.56207e+07
302	4.37927e+06	0.254447	1.48709	5.56207e+07
303	4.37927e+06	0.233773	1.36626	5.56207e+07
304	4.37927e+06	0.21478	1.25526	5.56207e+07
305	4.37927e+06	0.197329	1.15327	5.56207e+07
306	4.37927e+06	0.181296	1.05957	5.56207e+07
307	4.37927e+06	0.166566	0.973477	5.56207e+07
308	4.37927e+06	0.153033	0.894383	5.56207e+07
309	4.37927e+06	0.140599	0.821715	5.56207e+07
310	4.37927e+06	0.129175	0.754952	5.56207e+07
311	4.37927e+06	0.11868	0.693613	5.56207e+07
312	4.37927e+06	0.109037	0.637257	5.56207e+07
313	4.37927e+06	0.100178	0.585481	5.56207e+07
314	4.37927e+06	0.0920388	0.537911	5.56207e+07
315	4.37927e+06	0.0845607	0.494206	5.56207e+07
316	4.37927e+06	0.0776903	0.454052	5.56207e+07
317	4.37927e+06	0.071378	0.417161	5.56207e+07
318	4.37927e+06	0.0655786	0.383267	5.56207e+07
319	4.37927e+06	0.0602504	0.352127	5.56207e+07
320	4.37927e+06	0.0553551	0.323517	5.56207e+07
321	4.37927e+06	0.0508576	0.297232	5.56207e+07
322	4.37927e+06	0.0467254	0.273082	5.56207e+07
323	4.37927e+06	0.042929	0.250894	5.56207e+07
324	4.37927e+06	0.0394411	0.230509	5.56207e+07
325	4.37927e+06	0.0362365	0.211781	5.56207e+07
326	4.37927e+06	0.0332924	0.194574	5.56207e+07
327	4.37927e+06	0.0305874	0.178765	5.56207e+07
328	4.37927e+06	0.0281022	0.16424	5.56207e+07
329	4.37927e+06	0.0258189	0.150896	5.56207e+07
330	4.37927e+06	0.0237211	0.138636	5.56207e+07
331	4.37927e+06	0.0217938	0.127372	5.56207e+07
332	4.37927e+06	0.0200231	0.117023	5.56207e+07
333	4.37927e+06	0.0183962	0.107515	5.56207e+07
334	4.37927e+06	0.0169016	0.0987794	5.56207e+07
335	4.37927e+06	0.0155283	0.0907537	5.56207e+07
336	4.37927e+06	0.0142667	0.08338	5.56207e+07
337	4.37927e+06	0.0131075	0.0766055	5.56207e+07
338	4.37927e+06	0.0120425	0.0703813	5.56207e+07
339	4.37927e+06	0.0110641	0.0646629	5.56207e+07
340	4.37927e+06	0.0101651	0.0594091	5.56207e+07
341	4.37927e+06	0.00933924	0.0545822	5.56207e+07
342	4.37927e+06	0.00858044	0.0501474	5.56207e+07
343	4.37927e+06	0.00788328	0.046073	5.56207e+07
344	4.37927e+06	0.00724277	0.0423296	5.56207e+07
345	4.37927e+06	0.00665431	0.0388904	5.56207e+07
346	4.37927e+06	0.00611365	0.0357306	5.56207e+07
347	4.37927e+06	0.00561692	0.0328275	5.56207e+07
348	4.37927e+06	0.00516055	0.0301603	5.56207e+07
349	4.37927e+06	0.00474126	0.0277098	5.56207e+07
350	4.37927e+06	0.00435604	0.0254584	5.56207e+07
351	4.37927e+06	0.00400211	0.0233899	5.56207e+07
352	4.37927e+06	0.00367695	0.0214895	5.56207e+07
353	4.37927e+06	0.0033782	0.0197435	5.56207e+07
354	4.37927e+06	0.00310372	0.0181394	5.56207e+07
355	4.37927e+06	0.00285155	0.0166656	5.56207e+07
356	4.37927e+06	0.00261986	0.0153115	5.56207e+07
357	4.37927e+06	0.002407	0.0140675	5.56207e+07
358	4.37927e+06	0.00221143	0.0129245	5.56207e+07
359	4.37927e+06	0.00203176	0.0118744	5.56207e+07
360	4.37927e+06	0.00186668	0.0109096	5.56207e+07
361	4.37927e+06	0.00171501	0.0100232	5.56207e+07
362	4.37927e+06	0.00157567	0.00920884	5.56207e+07
363	4.37927e+06	0.00144765	0.00846063	5.56207e+07
364	4.37927e+06	0.00133003	0.00777321	5.56207e+07
365	4.37927e+06	0.00122196	0.00714164	5.56207e+07
366	4.37927e+06	0.00112268	0.00656139	5.56207e+07
